,id,rank,name,position_id,position_name,level
1362,953,1363,leo,10,fw,1.0
1363,1209,1364,Jean10,10,fw,1.0
1364,1465,1365,Craq,10,fw,1.0
1365,698,1366,PROZ,10,fw,1.0
1366,1210,1367,A.Carrara,20,mf,1.0
1367,187,1368,itazura2,10,fw,1.0
1368,443,1369,Qrokit,20,mf,1.0
1369,955,1370,kuroh,20,mf,1.0
1370,1211,1371,Zhenotdel,10,fw,1.0
1371,1467,1372,kwondrew,20,mf,1.0
1372,188,1373,BrioBlu,10,fw,1.0
1373,956,1374,MinnowGP,10,fw,1.0
1374,1212,1375,shevà,10,fw,1.0
1375,1468,1376,Vinicius,10,fw,1.0
1376,1213,1377,aksbahsv,20,mf,1.0
1377,1469,1378,Vinicius22,10,fw,1.0
1378,702,1379,neymar,10,fw,1.0
1379,1214,1380,badman,10,fw,1.0
1380,1470,1381,tawwwwwwwww,10,fw,1.0
1381,447,1382,AdresSiesta,20,mf,1.0
1382,703,1383,David,10,fw,1.0
1383,1215,1384,Rajmiiii,10,fw,1.0
1384,1471,1385,event0r,10,fw,1.0
1385,448,1386,FREES_BACK,30,df,1.0
1386,704,1387,Reid,10,fw,1.0
1387,960,1388,DRAGONPUCA2,20,mf,1.0
1388,1216,1389,AquaWeeVyl,10,fw,1.0
1389,1472,1390,Franco,20,mf,1.0
1390,705,1391,OROSPU,10,fw,1.0
1391,1217,1392,ElBicho,10,fw,1.0
1392,1473,1393,Serdar,10,fw,1.0
1393,194,1394,Puyol,30,df,1.0
1394,706,1395,fxmollla,20,mf,1.0
1395,1218,1396,Giannis,10,fw,1.0
1396,1474,1397,Nwakame,10,fw,1.0
1397,451,1398,hijlk,20,mf,1.0
1398,707,1399,Maffei,10,fw,1.0
1399,963,1400,FENOMENO,10,fw,1.0
1400,1219,1401,Joqco,10,fw,1.0
1401,1475,1402,Yorudan,10,fw,1.0
1402,196,1403,campari,30,df,1.0
1403,452,1404,ArendK,20,mf,1.0
1404,1220,1405,Toglogch,30,df,1.0
1405,1476,1406,xrhstos,20,mf,1.0
1406,453,1407,Pipocazueli,20,mf,1.0
1407,709,1408,Nahu,30,df,1.0
1408,965,1409,xi619,30,df,1.0
1409,1477,1410,Petru,20,mf,1.0
1410,710,1411,Kamo,10,fw,1.0
1411,1222,1412,Martin,10,fw,1.0
1412,1478,1413,jao,10,fw,1.0
1413,711,1414,s4nty14,10,fw,1.0
1414,967,1415,europeu,10,fw,1.0
1415,1223,1416,Martinho,10,fw,1.0
1416,1479,1417,longxian,10,fw,1.0
1417,456,1418,Coszmin,20,mf,1.0
1418,712,1419,DARKLEO,30,df,1.0
1419,968,1420,Jesse,10,fw,1.0
1420,1224,1421,Zarr,20,mf,1.0
1421,1480,1422,Wanbiss,20,mf,1.0
1422,713,1423,PiToka,20,mf,1.0
1423,969,1424,JayCu,10,fw,1.0
1424,1481,1425,Dudek,10,fw,1.0
1425,458,1426,Coniiiiiiii,20,mf,1.0
1426,714,1427,Kento,10,fw,1.0
1427,970,1428,Procyon,20,mf,1.0
1428,1226,1429,Paulista,20,mf,1.0
1429,1482,1430,32raven32,10,fw,1.0
1430,203,1431,Richardson,20,mf,1.0
1431,459,1432,juan,30,df,1.0
1432,715,1433,KL4U55,10,fw,1.0
1433,1483,1434,dett,10,fw,1.0
1434,972,1435,worfi,10,fw,1.0
1435,1484,1436,HRQ,20,mf,1.0
1436,205,1437,xzertg,10,fw,1.0
1437,973,1438,Ash,20,mf,1.0
1438,1229,1439,Faizal,10,fw,1.0
1439,1485,1440,DDen,10,fw,1.0
1440,206,1441,Chinosam230,30,df,1.0
1441,974,1442,Ruhm,20,mf,1.0
1442,1230,1443,Dyer,10,fw,1.0
1443,1486,1444,juliete,10,fw,1.0
1444,207,1445,Idriss,10,fw,1.0
1445,463,1446,Bigode,20,mf,1.0
1446,719,1447,sen_dantt,20,mf,1.0
1447,975,1448,Pedia,30,df,1.0
